Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Efficiency,Minutes played,Successful attacking actions per 90,Non-penalty goals per 90,Shots per 90,"Shots on target, %","Goal conversion, %",Classification
T. Bondo,Blackpool U21,Blackpool,"CF, AMF",,0,,3,79,0,0.92,0,79,2.28,0,4.56,25,0,0
J. Bland,Barnsley,Barnsley,"RWB, RCB",19,0,2026-06-30,1,79,0,0.00,0,79,1.14,0,0,0,0,0
D. Gore,Rotherham United,Rotherham United,AMF,20,900000,2026-06-30,1,73,0,0.03,0,73,1.23,0,1.23,0,0,0
M. Hamilton,Stockport County,Stockport County,"RWF, LWF, RW",21,2000000,2028-06-30,4,70,0,0.19,0,70,6.43,0,2.57,0,0,0
B. Tuma,Reading U21,Reading,"RWF, CF",19,100000,,4,68,0,0.00,0,68,3.97,0,0,0,0,0
T. Mcintyre,Charlton Athletic,Charlton Athletic,"LCB, LAMF, AMF",26,800000,2026-06-30,5,61,0,0.00,0,61,1.48,0,0,0,0,0
M. Westergaard,Wycombe Wanderers,Wycombe Wanderers,"AMF, LDMF, RCMF",26,450000,2025-12-31,4,59,0,0.00,0,59,0,0,0,0,0,0
W. Swan,Crawley Town,Crawley Town,"AMF, CF",,0,,1,51,0,0.00,0,51,0,0,0,0,0,0
J. Bartolo,Weymouth,Wycombe Wanderers,"LAMF, RWF, RAMF",18,0,2024-12-31,2,50,0,0.00,0,50,1.8,0,0,0,0,0
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
